"Source:","/media/andi/PortableApps/home assistant/KiCAD/CC dimmer low voltage/CC dimmer low voltage.kicad_sch"
"Date:","Wed 29 Dec 2021 11:27:57 CET"
"Tool:","Eeschema 6.0.0-d3dd2cf0fa~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Purchase"
"","","D51","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
"","","D61","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
"","","D71","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
"","","D81","MBR0560","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1809212132_Changjiang-Electronics-Tech--CJ-MBR0560_C77338.pdf","C77338","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Changjiang-Electronics-Tech-CJ-MBR0560_C77338.html"
"","","D101","BZT52C10","Device:D_Zener","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/1912111437_Shandong-Jingdao-Microelectronics-BZT52C10_C353564.pdf","C353564","https://www.lcsc.com/product-detail/Zener-Diodes_Shandong-Jingdao-Microelectronics-BZT52C10_C353564.html"
"","","D201","Pow","Device:LED_Small","Diode_SMD:D_1206_3216Metric","https://datasheet.lcsc.com/lcsc/1912111437_Orient-ORH-R37A_C400035.pdf","C400035","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Orient-ORH-R37A_C400035.html"
"","","F101","4A fast","Device:Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","https://datasheet.lcsc.com/lcsc/2011091603_Xucheng-Elec-C58066_C58066.pdf","C58066","https://www.lcsc.com/product-detail/Fuse-Holders_Xucheng-Elec-C58066_C58066.html"
"","","F201","1A","Device:Polyfuse_Small","Fuse:Fuse_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2103231638_BHFUSE-BSMD0805-100-12V_C910823.pdf","C910823","https://lcsc.com/product-detail/Resettable-Fuses_BHFUSE-BSMD0805-100-12V_C910823.html"
"","","H1","mounting hole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","","",""
"","","H2","mounting hole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","","",""
"","","H3","mounting hole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","","",""
"","","H4","mounting hole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","","",""
"","","IN1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","J301","XH-4AW","Connector:Conn_01x04_Male","Connector_JST:JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal","https://datasheet.lcsc.com/lcsc/1811092111_BOOMELE-Boom-Precision-Elec-XH-4AW_C21273.pdf","C21273","https://lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_BOOMELE-Boom-Precision-Elec-XH-4AW_C21273.html"
"","","J401","XH-3AW","Connector:Conn_01x03_Male","Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal","https://datasheet.lcsc.com/lcsc/1811081022_BOOMELE-Boom-Precision-Elec-XH-3AW_C18428.pdf","C18428","https://lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_BOOMELE-Boom-Precision-Elec-XH-3AW_C18428.html"
"","","J501","2x04_P2.54mm","Connector:Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Horizontal","https://datasheet.lcsc.com/lcsc/1811151525_BOOMELE-Boom-Precision-Elec-C3410_C3410.pdf","C3410","https://lcsc.com/product-detail/Pin-Headers_BOOMELE-Boom-Precision-Elec-C3410_C3410.html"
"","","L11","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
"","","L21","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
"","","L31","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
